project, commit_order, commit_results, commit_origin
apache_ant,26.0,57dcee32405d493216f564085a10d5a04d9309e9,8d03bfd672247e72a6b8b93dbb27ecbe5c432727
apache_ant,27.0,fe9f74ef8e3739427b25a50292b16018af109efc,022cee192e61a8306d1d46e44666d9612cfb1482
apache_ant,28.0,8d2e6d7d9e9f365aa79f7b7e594565b61cec6b6e,9ef4ba386ce8b6dda905aad04ba20c53ab1699a8
apache_ant,29.0,78cb1df3d9e6e9cead582e9543c7e6396817e540,1348ebb91c17cbc8506d2a1e323c3bff408348c8
apache_ant,30.0,b8237061b71ab18002ff8ff81cc37808e2ca3a2a,0c38fb606fd48312925a95814b37f8f0fa277127
apache_ant,31.0,7e3344604368f96060575680868d3e8947c9e269,6a40bdb9d3797a0f081184807f58a79122e0f6bd
apache_ant,32.0,fc73f36c98aa308641ecd8385fdc5c721b6a7d12,f479b5f52f27fe13bf439be5368ebce699252219
apache_ant,33.0,2ad28b0295b046e801c87896cac2009e0d9a26b5,14ad5c43cd9daa609aae8a4849362d18b8b69f0a
apache_ant,34.0,9f5e20e4e71cff1e211c3c3bf3c721ab626936a2,0e3026cfc5c3b6f5c1e2648f44842705957f493c
apache_ant,35.0,a2fbb90c7e612b48c1a0263fad6a161dfc9ca814,be4c1c5ad04c8d35d2a04bbd82b78c84495a04d5
apache_ant,36.0,4487f543729a9fa10fc32248570f7d071ddad0af,d7fd05639452f35b4adacecabcb0c9ff29ea17e8
apache_ant,37.0,d38bd5a16097e54e9cdd4f25b5c8529762c4bf88,fe327c78c4aa6a279bf1a04fb5890c7e2f7e6ebf
apache_ant,38.0,1d0e389ca1a19a7490d8ac675626e19973ff8de5,c8dde69e23c2efbd7ed726068991359ac534ba48
apache_ant,39.0,7b209dfc3cce00eaa30c228db21b2d92fc0d47cd,5ed0aeaa46b2dceb5cdab6c33609076c829e7598
apache_ant,40.0,5e389d3d0ce88b9ddda637fdfecbb473442797a3,d1e64cc7fe5eef61094dbb643096cada4b880f72
apache_ant,41.0,5a19a7baebb83c8f5b89bf3ccc62a258ec39652d,2960860847a1d35afde3810b29183f1387fb71d6
apache_ant,42.0,492dd7219cdb9b834bcebeaaf2ef839ed562670a,02aedbc903570357c4caa43beb2d9e2dabd7b4fc
apache_ant,43.0,2450210417e7d87a6c1c9020a3c059ce8e37f0ee,af4eb228ec9fb6b950848fe0623cde054ef3ba35
apache_ant,44.0,a8d75c7a5027d4e287b7531f9a430db42f05a292,2cd0300f6bc82b932d295b2f07eb6be5c73115ec
apache_ant,45.0,fb14b5e921776c5c5292bd4698e9c33a38419c1e,445a6a0286d15a2846f894dd78fcb321ac9f99bd
apache_ant,46.0,ae497133dd53db931839bc198ad78da583a995a6,451364131fb89af099496ee27703c1a5c408d1f2
apache_ant,47.0,1b42a82ea48c3384ebedcc3b21300142abb12f03,66edbcf65dc848378fb945f118b11636012a91a3
apache_ant,48.0,3a7f06a27d58c1571011d8e7b1e1b855ad205116,0e20ef34fe71946b156ffe1cc5ddb51034653a4d
apache_ant,49.0,8567d1bee83e0f39bbbb133b4ad102521afb3cc3,7081e356a86317bf32635888a6d3cf340dfa9a67
